vin,avg_battery,battery_std,min_battery,max_battery,total_records,avg_latitude,avg_longitude
MD9EMHDL23F217109,76.56,27.56,0.05,100.0,192,28.72,77.19
MD9EMHDL23F217124,84.08,23.88,24.18,100.0,188,28.69,77.12
MD9EMHDL23F217138,85.74,17.49,26.88,100.0,157,28.69,77.31
MD9EMHDL23F217146,82.42,16.84,28.04,100.0,139,17.39,78.47
MD9EMHDL23F217159,100.0,0.0,100.0,100.0,108,17.58,78.41
MD9EMHDL23F217165,75.28,25.92,23.79,100.0,130,12.79,80.02
MD9EMHDL23F217167,24.78,0.05,24.68,24.86,108,17.49,78.44
MD9EMHDL23F217169,62.27,24.15,27.92,100.0,182,19.1,73.0
MD9EMHDL23F217186,79.55,18.24,54.98,100.0,150,17.51,78.45
MD9EMHDL23F217193,2.43,0.01,2.42,2.45,18,17.32,78.46
MD9EMHDL23F217198,66.61,0.0,66.61,66.61,4,17.46,78.56
MD9EMHDL23F217210,54.57,0.0,54.57,54.57,4,13.02,80.12
MD9EMHDL23G217005,73.28,25.54,30.03,100.0,148,17.51,78.4
MD9EMHDL23G217015,69.47,21.3,7.81,98.24,135,17.47,78.36
MD9EMHDL23G217017,78.74,28.94,4.9,100.0,169,28.64,77.05
MD9EMHDL23G217022,97.63,0.0,97.63,97.63,4,17.34,78.53
MD9EMHDL23G217026,24.5,0.62,23.46,25.49,104,17.34,78.56
MD9EMHDL23G217029,91.18,18.15,24.56,100.0,171,28.69,77.07
MD9EMHDL23G217050,23.16,0.0,23.16,23.16,4,28.73,77.28
MD9EMHDL23G217057,83.48,21.32,16.57,100.0,157,28.49,77.03
MD9EMHDL23G217060,77.15,23.07,6.51,100.0,154,28.67,77.15
MD9EMHDL23G217064,92.21,15.19,30.99,100.0,181,28.6,77.28
MD9EMHDL23G217066,65.06,20.71,19.45,98.14,139,28.5,77.1
MD9EMHDL23G217072,73.82,30.43,0.0,100.0,152,28.68,77.16
MD9EMHDL23G217074,73.56,25.77,13.37,100.0,127,28.6,77.1
MD9EMHDL23G217083,95.06,0.99,93.74,96.09,114,28.48,77.05
MD9EMHDL23G217084,89.9,19.46,13.36,100.0,192,28.74,77.04
MD9EMHDL23G217092,82.2,0.0,82.2,82.2,48,28.66,77.07
MD9EMHDL23G217099,87.81,15.39,38.49,100.0,139,13.13,80.18
MD9EMHDL23G217108,68.64,33.36,23.15,94.78,99,28.49,77.07
